John 3:16|For God so loved the world that he gave his only begotten Son
Proverbs 3:5-6|Trust in the Lord with all thine heart and lean not unto thine own understanding
1 Nephi 3:7|I will go and do the things which the Lord hath commanded
2 Nephi 4:20|My God hath been my support; he hath led me through mine afflictions in the wilderness; and he hath preserved me upon the waters of the great deep.
Doctrine and Covenants 130:18|Whatever principle of intelligence we attain unto in this life, it will rise with us in the resurrection
Doctrine and Covenants 131:1|In the celestial glory there are three heavens or degrees
Moses 1:34|And the first man of all men have I called Adam, which is many
Articles of Faith 1:1|We believe in God, the Eternal Father, and in His Son, Jesus Christ, and in the Holy Ghost.
Articles of Faith 2:1|We believe that men will be punished for their own sins, and not for Adam’s transgression.
Articles of Faith 3:1|We believe that through the Atonement of Christ, all mankind may be saved, by obedience to the laws and ordinances of the Gospel.
Articles of Faith 4:1|We believe that the first principles and ordinances of the Gospel are: first, Faith in the Lord Jesus Christ; second, Repentance; third, Baptism by immersion for the remission of sins; fourth, Laying on of hands for the gift of the Holy Ghost.
Articles of Faith 5:1|We believe that a man must be called of God, by prophecy, and by the laying on of hands by those who are in authority, to preach the Gospel and administer in the ordinances thereof.
Articles of Faith 6:1|We believe in the same organization that existed in the Primitive Church, namely, apostles, prophets, pastors, teachers, evangelists, and so forth.
Articles of Faith 7:1|We believe in the gift of tongues, prophecy, revelation, visions, healing, interpretation of tongues, and so forth.
Articles of Faith 8:1|We believe the Bible to be the word of God as far as it is translated correctly; we also believe the Book of Mormon to be the word of God.
Articles of Faith 9:1|We believe all that God has revealed, all that He does now reveal, and we believe that He will yet reveal many great and important things pertaining to the Kingdom of God.
Articles of Faith 10:1|We believe in the literal gathering of Israel and in the restoration of the Ten Tribes; that Zion (the New Jerusalem) will be built upon the American continent; that Christ will reign personally upon the earth; and, that the earth will be renewed and receive its paradisiacal glory.
Articles of Faith 11:1|We claim the privilege of worshiping Almighty God according to the dictates of our own conscience, and allow all men the same privilege, let them worship how, where, or what they may.
Articles of Faith 12:1|We believe in being subject to kings, presidents, rulers, and magistrates, in obeying, honoring, and sustaining the law.
Articles of Faith 13:1|We believe in being honest, true, chaste, benevolent, virtuous, and in doing good to all men; indeed, we may say that we follow the admonition of Paul—We believe all things, we hope all things, we have endured many things, and hope to be able to endure all things. If there is anything virtuous, lovely, or of good report or praiseworthy, we seek after these things.
